,page,incidentType,date,dateReported,dateOfIncident,location,otherIncidentType,Incident Details,Description Details
10,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2024/07/security-incident-july-30,Other,2024-07-30T19:50:00.000-04:00,2024-07-26T20:45:00.000-04:00,2024-07-26T17:15:00.000-04:00,Gould Street and Nelson Mandela Walk,Suspicious Behaviour,"A TMU community member reported to TMU Security that an individual approached their child and reached into their stroller for them, making comments. The community member yelled at them and the individual made inappropriate comments towards them. The community member left the area and reported hearing the individual making inappropriate comments towards passersby. The community member informed security they would notify Toronto Police Service, and TMU Security has also contacted Toronto Police Service about the matter.","['The individual was described as male, with a light complexion, is 30 to 35 years old and approximately 178 cm (5â\x80\x9910â\x80\x9d). They had red facial hair. They were wearing a black baseball hat, red bandana, grey t-shirt, red pants and black loafers.Â']"
11,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2024/07/security-incident-july-9,Other,2024-07-09T11:19:00.000-04:00,2024-07-08T09:00:00.000-04:00,2024-07-04T20:00:00.000-04:00,Yonge Street and Dundas Street West,Toronto Police Service News Release,Toronto Police Service has published a news release regarding an assault investigation and are seeking assistance from the community.,['Description div not found.']
12,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2024/07/security-incident-july-8-5,Indecent Act: Suspect Arrested,2024-07-08T14:54:00.000-04:00,2024-07-02T15:15:00.000-04:00,2024-07-02T15:15:00.000-04:00,Kerr Hall Quad,,TMU Security witnessed an individual masturbating and arrested them. Toronto Police Service was notified and attended.,"['The individual was described as male, with a dark complexion, is 25 years old and approximately 183 cm (6â\x80\x99). They had short black hair. They were wearing a black long sleeve t-shirt and grey sweatpants.']"
13,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2024/07/security-incident-july-8-4,Criminal Harassment,2024-07-08T14:51:00.000-04:00,2024-06-30T19:00:00.000-04:00,2024-06-30T19:00:00.000-04:00,Victoria Street and Dundas Street East,,TMU Security witnessed a community member asking for assistance while being chased by an individual and intervened. Security identified the individual and barred them from campus. The community member declined assistance from Toronto Police Service.,"['The individual was described as male, with a dark complexion and is 25 years old. They were wearing a black hoodie and black jeans.']"
14,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2024/07/security-incident-july-8-3,Robbery,2024-07-08T14:49:00.000-04:00,2024-06-30T04:00:00.000-04:00,2024-06-30T01:00:00.000-04:00,Victoria Street and Dundas Street East,,Toronto Police Service informed TMU security that a member of the public was robbed.,"['The individual was described as male, with a light complexion and approximately 27 to 30 years. They had short blonde hair. They were wearing a blue hoodie, camouflage shorts, black running shoes and riding a white bicycle.']"
15,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2024/07/security-incident-july-8-2,Assault,2024-07-08T14:47:00.000-04:00,2024-06-28T22:30:00.000-04:00,2024-06-28T22:30:00.000-04:00,Gould Street and Yonge Street,,"A TMU community member reported to TMU Security that an individual approached them, grabbed and punched them on the arm. The community member fled from the area and was chased by the individual. Security identified the individual and barred them from campus. No visible injuries were reported. Toronto Police Service was notified.","['The individual was described as male, with a light complexion and is 40 years old. They had short hair. They were wearing a blue baseball cap, blue t-shirt and grey sweatpants.']"
16,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2024/07/security-incident-july-8,Criminal Harassment,2024-07-08T14:45:00.000-04:00,2024-06-27T16:00:00.000-04:00,2024-06-27T16:00:00.000-04:00,Gould Street and Victoria Street,,"TMU Security witnessed a member of the public being chased by an individual and intervened. Another member of the public reported to TMU Security that prior to this happening, the individual punched their belongings. Security barred the individual from campus.Â","['The individual was described as male, with a light complexion, approximately 29 to 32 years old and approximately 173 cm (5â\x80\x998â\x80\x9d). They were wearing a black blazer and black jeans.Â']"
17,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2024/06/security-incident-june-27,Assault,2024-06-27T17:54:00.000-04:00,2024-06-20T15:00:00.000-04:00,2024-06-20T15:00:00.000-04:00,Church Street and Gould Street,,TMU Security witnessed an individual throwing a non-edged object at a member of the public while yelling. The member of the public left the area and did not speak with security. The individual noticed security and left campus.,"['The individual was described as male, with a light complexion, approximately 35 to 45 years old and approximately 175 cm (5â\x80\x999â\x80\x9d). They had short gray hair. They were wearing a blue t-shirt and beige shorts.']"
18,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2024/06/security-incident-june-21,Assault,2024-06-21T15:19:00.000-04:00,2024-06-14T21:30:00.000-04:00,2024-06-14T21:30:00.000-04:00,Gould Street and Victoria Street,,"A member of the public reported to TMU Security that an individual approached them, brandished an edged object at them and then walked away. Security attended and barred the individual from campus. The community member declined assistance from Toronto Police Service.","['The individual was described as male, with a light complexion and approximately 20 to 30 years old. They were wearing a grey toque, black hoodie and black jeans.']"
19,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2024/06/security-incident-june-19-2,Indecent Act: Suspect Arrested,2024-06-19T14:53:00.000-04:00,2024-06-17T17:15:00.000-04:00,2024-06-17T17:15:00.000-04:00,Podium building,,A TMU community member reported to TMU Security that they witnessed an individual naked and masturbating. Security attended and arrested the individual. Toronto Police Service was notified and attended.,"['The individual was described as female, with a dark complexion, is 46 years old and approximately 163 cm (5â\x80\x994â\x80\x9d). They had short black hair. They were wearing a beige sweater and dark blue jeans.']"
