,location
665,Nelson Mandela Walk and Gould Street
666,Dalhousie Street and Gould Street
667,Yonge Street and Gould Street
668,Kerr Hall
669,Yonge Street and Dundas Street
670,Yonge Street and Dundas Street
671,Nelson Mandela Walk and Gould Street
672,Yonge Street and Gould Street
673,Yonge Street and Gould Street
674,Yonge Street and Gould Street
675,Rogers Communication Centre
676,Nelson Mandela Walk and Gould Street
677,Victoria Street and Dundas Street
678,Victoria Street and Dundas Street
679,Yonge Street and Gould Street
680,Yonge Street and Dundas Street
681,Yonge Street and Gould Street
682,Yonge Street and Gould Street
683,Yonge Street and Gould Street
684,Victoria Street and Dundas Street
685,Church Street and Gould Street
686,Yonge Street and Gould Street
687,Bond Street and Gould Street
688,Church Street and Gould Street
689,Dalhousie Street and Gould Street
690,Yonge Street and Dundas Street
691,Victoria Street and Dundas Street
692,Yonge Street and Bay Street
693,Yonge Street and Gould Street 
694,Victoria Street and Dundas Street
695,Victoria Street and Dundas Street
696,Mutual Street and Gerrard Street
697,O’Keefe Lane and Gerrard Street
698,Yonge Street and Dundas Street
699,Nelson Mandela Walk and Gould Street
700,Victoria Street and Dundas Street
701,Victoria Street and Dundas Street
702,Victoria Street and Dundas Street
703,Nelson Mandela Walk and Gould Street
704,Kerr Hall
705,Bond Street and Gould Street
706,Jarvis Street and Dundas Street
707,Victoria Street and Dundas Street
708,Recreational and Athletics Centre
709,Victoria Street and Dundas Street
710,Yonge Street and Gerrard Street
711,Church Street and Carlton Street
712,Victoria Street and Dundas Street
713,Church Street and Gould Street
714,Victoria Street and Dundas Street
715,Mutual Street and Gerrard Street
716,Victoria Street and Dundas Street
717,Victoria Street and Dundas Street
718,Yonge Street and Elm Street
719,Victoria Street and Dundas Street
720,Victoria Street and Dundas Street
721,Victoria Street and Dundas Street
722,Yonge Street and Gould Street
723,Yonge Street and Gould Street
724,Yonge Street and Dundas Street
725,Yonge Street and Gould Street
726,Victoria Street and Dundas Street
727,Yonge Street and Gould Street
728,Yonge Street and Gould Street
729,Victoria Street and Dundas Street
730,Mutual Street and Gerrard Street
731,Yonge Street and Gould Street
732,Mutual Street and Gould Street
733,Nelson Mandela Walk and Gould Street
734,Victoria Street and Dundas Street
735,Church Street and Gould Street
736,Victoria Street and Dundas Street
737,Victoria Street and Dundas Street
738,Victoria Street and Dundas Street
739,Victoria Street and Dundas Street
740,Yonge Street and Gould Street
741,Yonge Street and Gould Street
742,Yonge Street and Gould Street
743,Victoria Street and Dundas Street
744,Victoria Street and Dundas Street
745,Yonge Street and Gould Street
746,Victoria Street and Dundas Street
747,Victoria Street and Dundas Street
748,Yonge Street and Gould Street
749,Nelson Mandela Walk and Gould Street
750,Kerr Hall
751,Nelson Mandela Walk and Gould Street
752,Victoria Street and Dundas Street
753,Bond Street and Gould Street
754,Yonge Street and Dundas Street
755,Church Street and Carlton Street
756,Yonge Street and Gould Street
757,Yonge Street and Gould Street
758,Bay Street and Dundas Street
759,Yonge Street and College Street
760,Victoria Street and Dundas Street
761,Yonge Street and College Street
762,Yonge Street and Gould Street
763,Victoria Street and Dundas Street
764,Yonge Street and Gerrard Street
765,O’Keefe Lane and Gould Street
766,Yonge Street and Gould Street
767,Yonge Street and Gould Street
768,Yonge Street and Dundas Street
769,Church Street and Gerrard Street 
770,Church Street and Carlton Street
771,Yonge Street and Gerrard Street
772,Yonge Street and Gould Street
773,Yonge Street and Gould Street
774,Bond Street and Dundas Street
775,Victoria Street and Dundas Street
776,Victoria Street and Dundas Street
777,Church Street and Gerrard Street
778,Yonge Street and Gould Street
779,Yonge Street and Gerrard Street
780,Yonge Street and Gould Street
781,Yonge Street and Gould Street
782,Yonge Street and Gerrard Street
783,Yonge Street and Gould Street
784,Church Street and Gould Street
785,Yonge Street and Gould Street
786,Victoria Street and Dundas Street
787,Church Street and Gerrard Street
788,Church Street and Gerrard Street
789,Yonge Street and Dundas Street
790,Kerr Hall
791,Church Street and Gould Street
792,Nelson Mandela Walk and Gould Street
793,Victoria Street and Dundas Street
794,Yonge Street and Gould Street
795,Church Street and Carlton Street
796,Victoria Street and Dundas Street
797,Yonge Street and Gould Street
798,Kerr Hall
799,Yonge Street and Gould Street
800,Yonge Street and Gould Street
801,Dalhousie Street and Gould Street
802,Victoria Street and Dundas Street
803,Bond Street and Dundas Street
804,Yonge Street and Gould Street
805,Yonge Street and Gould Street
806,Mutual Street and Dundas Street
807,Yonge Street and Dundas Street
808,Yonge Street and Gould Street
809,Yonge Street and Dundas Street
810,Victoria Street and Dundas Street
811,Victoria Street and Dundas Street
812,Victoria Street and Dundas Street
813,Yonge Street and Gould Street
814,Nelson Mandela Walk and Gould Street
815,Church Street and Gould Street
816,Kerr Hall
817,Church Street and Gerrard Street
818,Church Street and Gould Street
819,Yonge Street and Gould Street
820,Mutual Street and Gerrard Street
821,Bond Street and Gould Street
822,Church Street and Gerrard Street
823,Mutual Street and Gerrard Street
